model,variant,split,class_name,precision,recall,f1,map50,map50_95,map75,optimal_threshold
YOLO11n,n,valid,alligator,0.451,0.412,0.431,0.3574427303881786,0.1772176304309996,0.1416818996219483,0.15
YOLO11n,n,valid,block,0.831,0.86,0.846,0.8579823732005819,0.6752582915015132,0.7402348315679383,0.33
YOLO11n,n,valid,crack,0.422,0.323,0.366,0.26993147700173914,0.12923945931572872,0.1051462803497816,0.22
YOLO11n,n,valid,edge,0,0,0,0,0,0,0
YOLO11n,n,valid,longitudinal,0.375,0.409,0.391,0.2715045256096611,0.09764258529229766,0.04874740821825367,0.15
YOLO11n,n,valid,pothole,0.674,0.612,0.642,0.6070160665728273,0.30730513754506783,0.2690671341459509,0.22
YOLO11n,n,valid,transverse,0.704,0.603,0.65,0.5784897669132211,0.3233857263389543,0.3041615292378839,0.28
YOLO11n,n,test,alligator,0.418,0.39,0.404,0.3288531808612013,0.14294677550334117,0.10454694258120852,0.14
YOLO11n,n,test,block,0.833,0.851,0.842,0.8470011937925868,0.6617223476013945,0.7047173805010701,0.38
YOLO11n,n,test,crack,0.712,0.849,0.775,0.7658535591703247,0.5903710735272806,0.6675945384600168,0.4
YOLO11n,n,test,edge,0,0,0,,,,0
YOLO11n,n,test,longitudinal,0.366,0.447,0.402,0.257894770652957,0.08281374165204859,0.02822645341208084,0.12
YOLO11n,n,test,pothole,0.747,0.647,0.693,0.6864889420102933,0.38082939851327324,0.35844349635039935,0.27
YOLO11n,n,test,transverse,0.87,0.597,0.708,0.6793505352367429,0.35109151353435825,0.33102137868103704,0.36
YOLO26s,s,valid,alligator,0.393,0.358,0.374,0.2774286593634983,0.1333535440473682,0.10573934620118781,0.2
YOLO26s,s,valid,block,0.899,0.826,0.861,0.8868509319442817,0.6379547087140047,0.7333976470313639,0.51
YOLO26s,s,valid,crack,0.356,0.274,0.31,0.19647647668786566,0.08796625513126285,0.07762462130328394,0.1
YOLO26s,s,valid,edge,0,0,0,0,0,0,0
YOLO26s,s,valid,longitudinal,0.378,0.313,0.342,0.204381045527068,0.0887333373390661,0.06690023159061831,0.18
YOLO26s,s,valid,pothole,0.689,0.559,0.617,0.5649878678037685,0.2898474361838548,0.25273607852692026,0.38
YOLO26s,s,valid,transverse,0.69,0.635,0.661,0.5992352571925804,0.3608514584164083,0.38236678187164497,0.38
YOLO26s,s,test,alligator,0.374,0.338,0.355,0.2506097939391747,0.10360004124489357,0.07008540547504233,0.21
YOLO26s,s,test,block,0.818,0.766,0.791,0.736733670693327,0.5468076757744181,0.6156637882587768,0.37
YOLO26s,s,test,crack,0.652,0.624,0.637,0.6360791024724236,0.4719770410276706,0.5484931274182815,0.69
YOLO26s,s,test,edge,0,0,0,,,,0
YOLO26s,s,test,longitudinal,0.405,0.328,0.362,0.21268122892732555,0.07909363256927789,0.045951707815054386,0.22
YOLO26s,s,test,pothole,0.821,0.603,0.695,0.672923721193864,0.3707113889041663,0.35325083328707835,0.5
YOLO26s,s,test,transverse,0.647,0.657,0.652,0.6296796970185419,0.33057980757568767,0.2823691234884527,0.25
